iteration,residual,time
0,19.236575199805312,0
1,0.16772374276256374,0.6350133419036865
2,0.028727119470124116,1.2640018463134766
3,0.00723475200236645,1.9720017910003662
4,0.0019258543922063937,2.601012706756592
5,0.0005171819917021726,3.2360031604766846
6,0.00013909646219319066,3.8480005264282227
7,3.742008187097347e-05,4.515000104904175
8,1.0067333765765889e-05,5.180999279022217
9,2.7084953614799682e-06,5.822002172470093
10,7.286894104414778e-07,6.4430108070373535
11,1.9604553011657632e-07,7.030012607574463
12,5.27438119345833e-08,7.625011444091797
13,1.4190114832822868e-08,8.237013101577759
14,3.8176934813690535e-09,8.839998483657837
15,1.0271022661265848e-09,9.429012537002563
16,2.7633465750860555e-10,10.047001838684082
17,7.433775479296591e-11,10.664002656936646
18,2.000446094193805e-11,11.26601243019104
19,5.379328278205608e-12,11.848000764846802
