iteration,residual,time
0,27.44050320046319,0
1,0.2087827274489743,2.3681235313415527
2,0.029653661290153552,4.693028926849365
3,0.007453858677184139,6.980825901031494
4,0.0021012120271652435,9.26681399345398
5,0.0006054692734059407,11.563825130462646
6,0.00017523713258404912,13.890831232070923
7,5.0764055976161054e-05,16.180815935134888
8,1.4708559924954955e-05,18.512819290161133
9,4.26188632289873e-06,20.8380446434021
10,1.2349159989849856e-06,23.13145422935486
11,3.578275621915919e-07,25.432492971420288
12,1.0368367918588244e-07,27.759515047073364
13,3.004324793858165e-08,30.06450843811035
14,8.705304305267467e-09,32.37251830101013
15,2.522430491942441e-09,34.693506717681885
16,7.309063963240381e-10,37.01938247680664
17,2.117751672733086e-10,39.338380098342896
18,6.137331253206607e-11,41.62139439582825
19,1.777531886286362e-11,43.91738700866699
20,5.185243206927144e-12,46.223381996154785
