iteration,residual,time
0,161.51495708907962,0
1,120.61253965495094,0.02199840545654297
2,97.83103811202604,0.046012163162231445
3,83.83387302190779,0.07399868965148926
4,74.33625097316346,0.09999871253967285
5,67.35608164733029,0.1230020523071289
6,61.921893198232475,0.14699649810791016
7,57.51533774351664,0.17399811744689941
8,53.83462373152174,0.1999967098236084
9,50.69038269131857,0.22600197792053223
10,47.956600684689825,0.24999713897705078
11,45.54556981438041,0.27500033378601074
12,43.39407571968798,0.29799866676330566
13,41.45526060899859,0.32399916648864746
14,39.693568804324215,0.34999799728393555
15,38.08147365573601,0.374997615814209
16,36.597286849728185,0.40000033378601074
17,35.22365206180705,0.4239966869354248
18,33.94648525667389,0.44900035858154297
19,32.754214211034835,0.4739968776702881
20,31.637222989139328,0.49899911880493164
21,30.587439553082596,0.5250017642974854
22,29.598025091162473,0.5519967079162598
23,28.663136788238514,0.5779988765716553
24,27.77774440343495,0.60599684715271
25,26.937486807804483,0.6319973468780518
26,26.138558574687362,0.6579990386962891
27,25.37761943885373,0.6839969158172607
28,24.6517213494735,0.7089974880218506
29,23.958249197769188,0.7340002059936523
30,23.29487227514392,0.7589969635009766
31,22.659504226866577,0.7849979400634766
32,22.050269788144515,0.810002326965332
33,21.46547697723184,0.8340106010437012
34,20.903593711344605,0.858004093170166
35,20.363228031739958,0.8800015449523926
36,19.84311129293792,0.9039978981018066
37,19.342083801042833,0.9300110340118408
38,18.859082487108516,0.9559993743896484
39,18.393130280540916,0.9829998016357422
40,17.943326909849894,1.0069975852966309
41,17.508840907519247,1.0329995155334473
42,17.088902635264645,1.0620019435882568
43,16.6827981776876,1.0939993858337402
44,16.289863977980964,1.1239988803863525
45,15.909482110178887,1.1520018577575684
46,15.54107609946065,1.1809990406036377
47,15.184107215981628,1.2099978923797607
48,14.838071179217735,1.2379980087280273
49,14.50249521934206,1.2649989128112793
50,14.176935450080414,1.292996883392334
51,13.860974514110682,1.3189992904663086
52,13.554219467618012,1.3489973545074463
53,13.256299875283817,1.378999948501587
54,12.966866090925286,1.408998966217041
55,12.685587702337985,1.4389970302581787
56,12.412152121728719,1.4689981937408447
57,12.146263305541869,1.4980003833770752
58,11.887640589547766,1.5269992351531982
59,11.636017626832563,1.5539991855621338
60,11.391141417851362,1.5799992084503174
61,11.15277142301874,1.6079990863800049
62,10.920678749445152,1.6339972019195557
63,10.694645404410227,1.6609978675842285
64,10.474463609017585,1.685004711151123
65,10.259935166219,1.7109966278076172
66,10.050870878043785,1.7360107898712158
67,9.847090007436595,1.7610023021697998
68,9.648419780603444,1.786996603012085
69,9.454694926202306,1.812997579574585
70,9.26575724809852,1.8380005359649658
71,9.081455228743868,1.8650026321411133
72,8.901643660537253,1.8910012245178223
73,8.726183302789643,1.9159982204437256
74,8.554940562150662,1.9419996738433838
75,8.387787194562756,1.966998815536499
76,8.224600026994255,1.9900004863739014
77,8.065260697368192,2.015997886657715
78,7.9096554112511805,2.06600284576416
79,7.7576747139988,2.1160013675689697
80,7.609213277172087,2.1429994106292725
81,7.4641696981458185,2.168996810913086
82,7.322446311924508,2.1949965953826904
83,7.183949014267765,2.219998359680176
84,7.0485870953039065,2.244997024536133
85,6.916273082880289,2.2699978351593018
86,6.786922594961868,2.2949976921081543
87,6.660454200446326,2.3199968338012695
88,6.536789287815762,2.345998764038086
89,6.415851941091608,2.3719983100891113
90,6.297568822602012,2.395998477935791
91,6.18186906210943,2.42099928855896
92,6.068684151881406,2.444997787475586
93,5.957947847319468,2.470998525619507
94,5.849596072790351,2.4959967136383057
95,5.743566832330377,2.523010492324829
96,5.639800124918306,2.5480008125305176
97,5.538237864034212,2.5729992389678955
98,5.438823801242468,2.599001407623291
99,5.341503453555663,2.62600040435791
100,5.246224034353503,2.6510109901428223
101,5.152934387646595,2.6749980449676514
102,5.061584925489573,2.6999969482421875
103,4.97212756836139,2.727001428604126
104,4.884515688343064,2.750997304916382
105,4.798704054934437,2.7769970893859863
106,4.714648783362111,2.8019967079162598
107,4.632307285240425,2.8249969482421875
108,4.551638221456317,2.850999355316162
109,4.47260145715723,2.875997304916382
110,4.395158018728972,2.900999069213867
111,4.319270052657485,2.924010753631592
112,4.244900786175257,2.949004888534546
113,4.1720144895990785,2.971999168395996
114,4.10057644027172,2.9980013370513916
115,4.030552888025323,3.023996591567993
116,3.9619110220892724,3.049997568130493
117,3.894618939369944,3.0749995708465576
118,3.828645614033944,3.0979971885681152
119,3.763960868330528,3.124000310897827
120,3.700535344592565,3.1459970474243164
121,3.638340478358932,3.170999050140381
122,3.5773484725644145,3.1959972381591797
123,3.5175322727463287,3.2209970951080322
124,3.4588655432198143,3.2449984550476074
125,3.401322644176488,3.267998456954956
126,3.344878609663593,3.292996644973755
127,3.2895091264031375,3.316997766494751
128,3.2351905134127112,3.342996597290039
129,3.181899702391663,3.3689966201782227
130,3.129614218838344,3.393998146057129
