iteration,residual,time,ssim,lpips
0,27.44050320046319,0,0.05899820476770401,0.857728123664856
1,13.981249698313356,0.17400741577148438,0.060088496655225754,0.8570054173469543
2,11.126392571256854,0.2920048236846924,0.060893863439559937,0.856270432472229
3,9.535207799919238,0.40999913215637207,0.061378732323646545,0.8552859425544739
4,7.259338681454151,0.535008430480957,0.06195349618792534,0.8543243408203125
5,6.8202373351362295,0.6479978561401367,0.062409546226263046,0.8543730974197388
6,5.483296681369066,0.7699987888336182,0.06288156658411026,0.853713870048523
7,5.247790887666977,0.8940114974975586,0.06330949068069458,0.8531269431114197
8,4.422680671357411,1.0229976177215576,0.06373661011457443,0.853015661239624
9,4.25404677035019,1.142998218536377,0.0641515851020813,0.8524463176727295
10,3.7078222483826178,1.2549974918365479,0.0645490437746048,0.8517779111862183
11,3.5740376420663496,1.3830022811889648,0.06492877751588821,0.8508126735687256
12,3.1913576459262365,1.5130031108856201,0.06528346985578537,0.8496735095977783
13,3.080242319259045,1.6419990062713623,0.06565149128437042,0.8483701348304749
14,2.8008983321237344,1.7619974613189697,0.06600471585988998,0.8472861051559448
15,2.7064232209410672,1.8799991607666016,0.06635671108961105,0.8462605476379395
16,2.4948767214447387,1.999999761581421,0.06670038402080536,0.8454394936561584
17,2.4131781725828754,2.1220057010650635,0.06705683469772339,0.844610333442688
18,2.2487842976860652,2.2429990768432617,0.0673985555768013,0.8440130352973938
19,2.1771620554259483,2.3599984645843506,0.0677628442645073,0.8435418009757996
20,2.046364844301997,2.4839982986450195,0.06811296939849854,0.8434439301490784
21,1.9831861201368184,2.6029977798461914,0.0684739276766777,0.8429889678955078
22,1.8771856169002659,2.7219974994659424,0.06883513182401657,0.8425853252410889
23,1.8210610539666747,2.8379998207092285,0.06921931356191635,0.8422778248786926
24,1.7335174383515064,2.9640071392059326,0.06960401684045792,0.8419135808944702
25,1.6835811376907273,3.087000608444214,0.07000549137592316,0.8413794040679932
26,1.6102008346976935,3.2089977264404297,0.07039829343557358,0.8410285711288452
27,1.565256712020962,3.320997476577759,0.0708216205239296,0.8404856324195862
28,1.5032386427787516,3.441997766494751,0.07123731821775436,0.8400419354438782
29,1.4625826748870683,3.567997932434082,0.07166237384080887,0.8395007252693176
30,1.4094289156166147,3.6879990100860596,0.07208044826984406,0.8390628695487976
31,1.3725375032398475,3.800011396408081,0.072525255382061,0.8387342691421509
32,1.3266056261516774,3.9269986152648926,0.07297097146511078,0.8385800123214722
33,1.2929545708403072,4.044998645782471,0.07342573255300522,0.8379870653152466
34,1.252845750177818,4.159997940063477,0.07387907058000565,0.8376145362854004
35,1.222124297482265,4.278997421264648,0.07435452938079834,0.8372719883918762
36,1.186832349069617,4.398997068405151,0.07482380419969559,0.8368009328842163
37,1.1585967518034195,4.52199912071228,0.07530920952558517,0.8363004922866821
38,1.127374303697412,4.640998363494873,0.07578682899475098,0.8358861804008484
39,1.101363863976774,4.753998279571533,0.07627052068710327,0.8353455662727356
40,1.073506270695292,4.868998765945435,0.076746866106987,0.8348825573921204
41,1.0495094892544672,4.994998931884766,0.07724279910326004,0.8343995213508606
42,1.0245038894792726,5.119011640548706,0.07773427665233612,0.8341371417045593
43,1.0022887676061414,5.232997179031372,0.07824182510375977,0.834025502204895
44,0.9797208781899672,5.358011245727539,0.07874494791030884,0.8338190913200378
45,0.9590913765245007,5.478998184204102,0.07925882190465927,0.8335011005401611
46,0.9386523479434219,5.5919976234436035,0.07976432889699936,0.8334783315658569
47,0.9194668803209908,5.70799994468689,0.08027388155460358,0.8335675001144409
48,0.9008513014368895,5.832001447677612,0.08078017085790634,0.8335369825363159
49,0.8829451668462679,5.954998016357422,0.08130533993244171,0.8333712220191956
50,0.865958116647771,6.076000213623047,0.08182165771722794,0.8331254124641418
51,0.8492015621023917,6.194997310638428,0.08234188705682755,0.8329155445098877
52,0.8336584445001068,6.317997932434082,0.08284396678209305,0.8326685428619385
53,0.8179359176379788,6.433998107910156,0.08335106074810028,0.8325449228286743
54,0.8036740921008494,6.552997589111328,0.08385834097862244,0.8323705792427063
55,0.7888685437974476,6.672001361846924,0.08437099307775497,0.8322064876556396
56,0.7757643571453001,6.786999940872192,0.08487286418676376,0.8320221900939941
57,0.7618249386562412,6.914997577667236,0.08538319170475006,0.8320218920707703
58,0.7497121629654132,7.032998323440552,0.08588558435440063,0.8322288393974304
59,0.7365732440604164,7.14999794960022,0.08640369027853012,0.8324536085128784
60,0.7253600489298461,7.265997886657715,0.0869174376130104,0.832554280757904
61,0.7129482433104991,7.382998943328857,0.08743458986282349,0.8325821161270142
62,0.7025337670813021,7.506999492645264,0.08795130252838135,0.8323508501052856
63,0.6908011111941204,7.62999701499939,0.08848239481449127,0.8320662379264832
64,0.6810971780464302,7.751997709274292,0.0890132337808609,0.8318581581115723
65,0.6699994612839314,7.869997501373291,0.08955264836549759,0.8317360877990723
66,0.6609275162910445,7.997997283935547,0.09008702635765076,0.8316577672958374
67,0.6504143855007305,8.118997573852539,0.09063289314508438,0.8315315842628479
68,0.6419313483534933,8.236007690429688,0.09117628633975983,0.8314870595932007
69,0.631942226173219,8.360999584197998,0.09172427654266357,0.8316239714622498
70,0.6239965558613626,8.476999521255493,0.09226711839437485,0.8319281935691833
71,0.6144952534603305,8.59099817276001,0.09281910955905914,0.8322979211807251
