iteration,residual,time
0,344.28661341574434,0
1,256.4308473480178,0.010006189346313477
2,192.58395390047474,0.01800084114074707
3,131.62678018549946,0.027013540267944336
4,90.69920890192223,0.036032915115356445
5,63.237033424309274,0.045029401779174805
6,43.776863731053794,0.054030418395996094
7,30.338099792337015,0.06302857398986816
8,21.424523841582076,0.07202839851379395
9,15.428078244435802,0.08103013038635254
10,10.969290862063763,0.09003257751464844
11,7.577372897111034,0.09803271293640137
12,5.098509787276547,0.10603499412536621
13,3.4803993990014725,0.11503243446350098
14,2.5249596264183065,0.12302947044372559
15,1.8520344789228256,0.13302969932556152
16,1.2977213443718525,0.1420304775238037
17,0.8707775633308112,0.1510312557220459
18,0.590253951706057,0.16002964973449707
19,0.42207705862517275,0.16903162002563477
20,0.3031083396875815,0.17702960968017578
21,0.2119467621921881,0.18603157997131348
22,0.1486628014117504,0.19603466987609863
23,0.105131244294634,0.20603203773498535
24,0.07245728455392271,0.21502947807312012
25,0.04864364784113658,0.22502994537353516
26,0.03401542527177035,0.2350306510925293
27,0.025144627815613614,0.24402904510498047
28,0.01823352979864932,0.25303149223327637
29,0.012346954849369707,0.2630293369293213
30,0.008130102992948599,0.2720296382904053
31,0.005721463957908279,0.2800307273864746
32,0.004195774385250493,0.2890307903289795
33,0.0029732179995288115,0.2980308532714844
34,0.0020538512843315563,0.30703115463256836
35,0.0014340776927893853,0.31603264808654785
36,0.0010078018853544926,0.3250296115875244
37,0.0006868476119587108,0.3360319137573242
38,0.00046796510211078314,0.34403133392333984
39,0.00034283551364248086,0.35402894020080566
40,0.00025078156804171463,0.36503076553344727
41,0.00017211681311421343,0.37402963638305664
42,0.00011589095249967301,0.3840305805206299
43,7.922333700259538e-05,0.394028902053833
44,5.596338762853432e-05,0.4030289649963379
45,4.089462129147703e-05,0.41303205490112305
46,2.9286368676061136e-05,0.42303013801574707
47,2.0004915539986482e-05,0.43203163146972656
48,1.3505338556993887e-05,0.4420292377471924
49,9.483311603304475e-06,0.4500288963317871
50,6.778923211285102e-06,0.45802903175354004
51,4.71142993615003e-06,0.46703100204467773
52,3.302231470988862e-06,0.4760298728942871
53,2.413547338481671e-06,0.48402905464172363
54,1.6778006698533444e-06,0.49402952194213867
55,1.0847388563594527e-06,0.5030307769775391
56,7.497559581713302e-07,0.5120289325714111
57,5.663252150535971e-07,0.521028995513916
58,4.102069280533209e-07,0.5300335884094238
59,2.7684876352417295e-07,0.5390288829803467
60,1.875240831831892e-07,0.5480291843414307
61,1.3185389444568708e-07,0.5570292472839355
62,9.261329468025842e-08,0.5660288333892822
63,6.525366345307443e-08,0.575028657913208
64,4.6429309106553755e-08,0.5840306282043457
65,3.283678473601839e-08,0.5930321216583252
66,2.2883720567971105e-08,0.6010303497314453
67,1.5588649964091278e-08,0.6090297698974609
68,1.0576844551443533e-08,0.6180300712585449
69,7.533780256737145e-09,0.627042293548584
70,5.5569580047352976e-09,0.636028528213501
71,3.950948747352568e-09,0.6450426578521729
72,2.6669614079836893e-09,0.6530294418334961
73,1.7841565708795128e-09,0.661041259765625
74,1.2528672356226706e-09,0.6680295467376709
75,9.151775790207462e-10,0.6760315895080566
76,6.516153806364174e-10,0.6850287914276123
77,4.4883656783153713e-10,0.6950287818908691
78,3.128535399260134e-10,0.7040290832519531
79,2.1829722982296e-10,0.7130296230316162
80,1.4951554006261897e-10,0.7230305671691895
81,1.040121005100506e-10,0.7310309410095215
82,7.462561511168239e-11,0.7400305271148682
83,5.433676797707809e-11,0.7500286102294922
84,3.818918036666587e-11,0.7600288391113281
85,2.5043597869564242e-11,0.7690305709838867
86,1.6795577755604715e-11,0.7790298461914062
87,1.2478296679822831e-11,0.7880287170410156
88,9.169425447608936e-12,0.7970290184020996
