iteration,residual,time,ssim,lpips
0,326.1777663500626,0,0.019547397270798683,0.9390029907226562
1,435.1980780858858,0.09399890899658203,0.07300219684839249,0.6782604455947876
2,350.19120092927966,0.19299864768981934,0.15587343275547028,0.7060920000076294
3,241.9360090779505,0.2949995994567871,0.23669521510601044,0.62847900390625
4,156.1289428721046,0.3989994525909424,0.2973242998123169,0.5878629088401794
5,101.90349274518327,0.4979987144470215,0.34004709124565125,0.5386595726013184
6,69.69068708887465,0.5869989395141602,0.37167927622795105,0.5152631402015686
7,50.15630888004805,0.6810002326965332,0.39901217818260193,0.495786190032959
8,36.588210417656725,0.767000675201416,0.42080068588256836,0.4819321632385254
9,26.006692747394894,0.8659987449645996,0.4364716112613678,0.4725492596626282
10,18.039319877165475,0.9640018939971924,0.44569993019104004,0.4690570533275604
11,12.499378531582693,1.05899977684021,0.45069563388824463,0.4680270850658417
12,8.711067711753534,1.1560032367706299,0.4531450867652893,0.46742308139801025
13,6.098144264256077,1.2469990253448486,0.45434698462486267,0.4671616852283478
14,4.2710919102116955,1.3480007648468018,0.45505213737487793,0.4672366976737976
15,2.9972880588671975,1.4490015506744385,0.4554653763771057,0.46730929613113403
16,2.10482812178658,1.5450031757354736,0.4556768238544464,0.4669516384601593
17,1.4654024167962896,1.6440019607543945,0.455756276845932,0.46692830324172974
18,1.0209574179194953,1.7379989624023438,0.4558219611644745,0.4669050872325897
19,0.7156725779415372,1.8380100727081299,0.45586925745010376,0.46696937084198
20,0.505285949744557,1.9399991035461426,0.45588991045951843,0.4669249355792999
21,0.3566607537597063,2.0610134601593018,0.45590776205062866,0.4669080376625061
22,0.2481094250083396,2.1800036430358887,0.45591434836387634,0.4669358432292938
23,0.1719330534690325,2.292004346847534,0.4559100568294525,0.46695423126220703
24,0.11935251969226685,2.4000017642974854,0.4559049606323242,0.4669574797153473
25,0.08390673452135604,2.5050015449523926,0.45590224862098694,0.4669557809829712
26,0.059486512092856596,2.6150007247924805,0.4559008777141571,0.46695876121520996
27,0.041829375789764665,2.726999044418335,0.4559013247489929,0.46695318818092346
28,0.02915203919183829,2.8260014057159424,0.4559016525745392,0.46695128083229065
29,0.020267866823291045,2.923999786376953,0.4559019207954407,0.4669516980648041
