iteration,residual,time
0,47.50431924365673,0
1,26.817564094606524,0.040999650955200195
2,20.087076472888583,0.06999945640563965
3,16.539837549664824,0.10100460052490234
4,14.301438492899239,0.13000011444091797
5,12.73455332464513,0.16199898719787598
6,11.56878023699908,0.19300079345703125
7,10.65964020181568,0.2239995002746582
8,9.928382693163169,0.25400304794311523
9,9.324051604307607,0.2840006351470947
10,8.815093706462685,0.3149995803833008
11,8.378875841692038,0.3450014591217041
12,8.00017854692599,0.3800008296966553
13,7.667392280151607,0.4109992980957031
14,7.372218029965597,0.44100284576416016
15,7.108074824080984,0.47100043296813965
16,6.870021565964015,0.5000014305114746
17,6.654039752421222,0.5290007591247559
18,6.45698623635885,0.5600018501281738
19,6.276260847872766,0.5890004634857178
20,6.109758780438057,0.6180014610290527
21,5.9557173932015095,0.647000789642334
22,5.8126687476148735,0.676001787185669
23,5.6793713110502075,0.7059998512268066
24,5.554767360390274,0.735999345779419
25,5.437953905115211,0.765002965927124
26,5.328148315240895,0.7960023880004883
27,5.224675663296976,0.8250014781951904
28,5.126944089055806,0.8549995422363281
29,5.034437127002234,0.8840007781982422
30,4.9466989864114925,0.9140026569366455
31,4.863326281315124,0.9430460929870605
32,4.783962614307646,0.9720466136932373
33,4.7082871955043455,1.0020463466644287
34,4.636017721479187,1.0320491790771484
35,4.56689498444201,1.0630466938018799
36,4.500692889618951,1.0910487174987793
37,4.437198990004988,1.1210479736328125
38,4.376230482367276,1.1490495204925537
39,4.317611012039227,1.1770472526550293
40,4.261191562117253,1.205047845840454
41,4.2068240497002485,1.232048749923706
42,4.154386133446562,1.260047197341919
43,4.103752174105807,1.2880480289459229
44,4.054821108218183,1.3150486946105957
45,4.007485331470187,1.342047929763794
46,3.961660907491411,1.369051218032837
47,3.917254886083647,1.4030463695526123
48,3.874197228852358,1.4320499897003174
49,3.8324070145015936,1.462047815322876
50,3.791825564326402,1.4910483360290527
51,3.7523819238565665,1.520047664642334
52,3.714026760130832,1.5490491390228271
53,3.676697448462976,1.5760467052459717
54,3.640352390219224,1.604046106338501
55,3.6049359780266834,1.6320483684539795
56,3.5704130483891396,1.6600463390350342
57,3.536733949327361,1.6860482692718506
58,3.5038688977626635,1.7120487689971924
59,3.4717733305559415,1.740053653717041
60,3.4404219833928464,1.768049716949463
61,3.409774669190116,1.79404878616333
62,3.3798099344175037,1.8220491409301758
63,3.350491377355357,1.850048542022705
64,3.321800770477203,1.8770477771759033
65,3.293705004472142,1.9050471782684326
66,3.266188592461322,1.9340498447418213
67,3.239221303432292,1.9610474109649658
68,3.212789986523988,1.9880461692810059
69,3.1868669389774924,2.0140490531921387
70,3.1614410072334334,2.046049118041992
71,3.1364867191546053,2.0720486640930176
72,3.1119946338663924,2.09805965423584
73,3.0879412553794396,2.1260592937469482
74,3.064318615503311,2.1540474891662598
75,3.041104975678072,2.179048538208008
76,3.0182936373573144,2.2060482501983643
77,2.995864430487758,2.234046697616577
78,2.9738117538724715,2.262047529220581
79,2.952116842009542,2.2910592555999756
80,2.930775044431839,2.3180463314056396
81,2.909768857266395,2.345046043395996
82,2.8890944556740816,2.372046709060669
83,2.868735472296843,2.398048162460327
84,2.8486888009164524,2.426046133041382
85,2.828939100727423,2.4550483226776123
86,2.809483892389315,2.4840469360351562
87,2.790308764638431,2.511047840118408
88,2.7714117861829477,2.539048671722412
89,2.752779389410754,2.567046642303467
90,2.7344101232051803,2.5950472354888916
91,2.7162911873051523,2.621047258377075
92,2.6984215522139166,2.6500468254089355
93,2.680789117024631,2.678046226501465
94,2.6633932232497144,2.704047679901123
95,2.646222408558698,2.731048583984375
96,2.6292763416508063,2.756046772003174
97,2.6125441442940307,2.7820475101470947
98,2.5960257743646276,2.810049533843994
99,2.5797108887693274,2.8350470066070557
100,2.563599701538354,2.862046718597412
101,2.547682360608019,2.8910481929779053
102,2.5319593074253484,2.919046640396118
103,2.516421141125293,2.9470505714416504
104,2.5010685055242305,2.9740471839904785
105,2.4858924149105226,3.001047134399414
106,2.470893693603852,3.030059337615967
107,2.4560637383611374,3.058046817779541
108,2.441403534886377,3.086060047149658
109,2.4269048327119385,3.1110479831695557
110,2.412568762182287,3.137047290802002
111,2.398387398583307,3.164046287536621
112,2.3843620022121828,3.190047025680542
113,2.3704849494778375,3.2160489559173584
114,2.3567576177243277,3.245046615600586
115,2.3431726619997395,3.27304744720459
116,2.329731565335018,3.299046277999878
117,2.3164272408651154,3.3270480632781982
118,2.3032612672902375,3.3540470600128174
119,2.2902267970220813,3.3820462226867676
120,2.2773254955791455,3.410050868988037
121,2.264550737414592,3.4370479583740234
122,2.2519042670289933,3.4670464992523193
123,2.2393796651082702,3.494046211242676
124,2.2269787481821184,3.523047924041748
125,2.2146952886553595,3.551046133041382
126,2.2025311689031866,3.5790488719940186
127,2.1904803397129355,3.6070477962493896
128,2.1785447437921763,3.6340465545654297
129,2.166718498047,3.6630475521087646
130,2.1550036005889406,3.691049575805664
131,2.143394323157818,3.719047784805298
132,2.1318927148508817,3.7470483779907227
133,2.1204931918510974,3.775048017501831
134,2.109197850268526,3.803049325942993
135,2.0980012411572857,3.831047773361206
136,2.0869055040563236,3.8580496311187744
137,2.075905316069091,3.8850479125976562
138,2.065002856919392,3.9130473136901855
139,2.054192921626536,3.940048933029175
140,2.0434777271523377,3.9670472145080566
141,2.032852178930809,3.993049144744873
142,2.0223185284749032,4.021059989929199
143,2.011871784713684,4.04705023765564
144,2.001514231251927,4.070045709609985
145,1.9912409741293706,4.097049236297607
146,1.9810543267826284,4.122047185897827
147,1.970949486470906,4.15004825592041
148,1.9609287943774025,4.18004584312439
149,1.950987533544335,4.207048654556274
150,1.9411280709695449,4.232048988342285
151,1.9313457704614403,4.260047197341919
152,1.9216430230352235,4.287045955657959
153,1.9120152686361496,4.313045978546143
154,1.9024649206179232,4.341046094894409
155,1.8929874907913196,4.367045879364014
156,1.8835854132739798,4.395060777664185
157,1.8742542678018261,4.422047138214111
158,1.8649965077738817,4.449047327041626
159,1.8558077772169228,4.478047609329224
160,1.8466905474101294,4.507048606872559
161,1.837640523320038,4.53704833984375
162,1.8286601927768218,4.567047834396362
163,1.8197453185977779,4.597047805786133
