iteration,residual,time,ssim,lpips
0,27.44050320046319,0,0.05899820476770401,0.857728123664856
1,0.2087827274489743,2.2570254802703857,0.2193564772605896,0.7702648043632507
2,0.029653661290153552,4.454013109207153,0.2357325553894043,0.7609830498695374
3,0.007453858677184139,6.654012680053711,0.2321779876947403,0.7589449882507324
4,0.0021012120271652435,8.855014324188232,0.23341448605060577,0.7589538097381592
5,0.0006054692734059407,11.045024394989014,0.23306876420974731,0.758904218673706
6,0.00017523713258404912,13.286014080047607,0.2331705093383789,0.7589110732078552
7,5.0764055976161054e-05,15.464017391204834,0.23314134776592255,0.7589086890220642
8,1.4708559924954955e-05,17.657013416290283,0.23314982652664185,0.7589094042778015
9,4.26188632289873e-06,19.840015172958374,0.23314739763736725,0.7589092254638672
10,1.2349159989849856e-06,22.044012308120728,0.23314803838729858,0.7589092254638672
11,3.578275621915919e-07,24.23301362991333,0.23314785957336426,0.7589092254638672
12,1.0368367918588244e-07,26.47001576423645,0.23314796388149261,0.7589092254638672
13,3.004324793858165e-08,28.683013439178467,0.23314787447452545,0.7589092254638672
14,8.705304305267467e-09,30.944029569625854,0.23314791917800903,0.7589092254638672
15,2.522430491942441e-09,33.171021699905396,0.23314790427684784,0.7589092254638672
16,7.309063963240381e-10,35.453020334243774,0.23314790427684784,0.7589092254638672
17,2.117751672733086e-10,37.6782431602478,0.23314790427684784,0.7589092254638672
18,6.137331253206607e-11,39.88020467758179,0.23314787447452545,0.7589092254638672
19,1.777531886286362e-11,42.0812463760376,0.23314787447452545,0.7589092254638672
20,5.185243206927144e-12,44.32519888877869,0.23314787447452545,0.7589092254638672
